id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count
17786,Nissan,Juke,2008,200000.0,Automatic,115000,2022-02-11,200k+,0.0
9997,Nissan,Juke,2008,200000.0,Automatic,116000,2022-04-21,200k+,0.0
8738,Nissan,Juke,2009,19999.0,Automatic,239000,2022-06-01,0-50k,0.0
9477,Nissan,Juke,2010,115000.0,Automatic,195000,2022-02-07,100k-150k,0.0
12801,Nissan,Juke,2011,19279.0,Automatic,248000,2022-06-29,0-50k,8.0
9392,Nissan,Juke,2012,199999.0,Automatic,193000,2022-02-07,150k-200k,13.0
17991,Nissan,Juke,2012,145000.0,Automatic,187000,2022-02-11,100k-150k,0.0
5866,Nissan,Juke,2012,179999.0,Automatic,185000,2022-02-15,150k-200k,16.0
6717,Nissan,Juke,2012,139999.0,Automatic,195000,2022-02-22,100k-150k,13.0
6445,Nissan,Juke,2012,159999.0,Automatic,213000,2022-03-16,150k-200k,13.0
6446,Nissan,Juke,2012,99999.0,Automatic,222000,2022-03-16,50k-100k,15.0
11063,Nissan,Juke,2012,39999.0,Automatic,235000,2022-03-19,0-50k,21.0
8475,Nissan,Juke,2012,119999.0,Automatic,205000,2022-03-21,100k-150k,12.0
3915,Nissan,Juke,2012,159999.0,Automatic,217000,2022-03-23,150k-200k,0.0
3,Nissan,Juke,2012,159999.0,Automatic,198000,2022-03-25,150k-200k,19.0
18464,Nissan,Juke,2012,199999.0,Automatic,222000,2022-04-02,150k-200k,0.0
10013,Nissan,Juke,2012,119999.0,Automatic,210000,2022-04-21,100k-150k,0.0
10015,Nissan,Juke,2012,159999.0,Automatic,233000,2022-04-21,150k-200k,12.0
10017,Nissan,Juke,2012,159999.0,Automatic,227000,2022-04-21,150k-200k,0.0
10018,Nissan,Juke,2012,119999.0,Automatic,222000,2022-04-21,100k-150k,0.0
10019,Nissan,Juke,2012,159999.0,Automatic,206000,2022-04-21,150k-200k,0.0
6067,Nissan,Juke,2012,179999.0,Automatic,221000,2022-04-22,150k-200k,0.0
12431,Nissan,Juke,2012,99999.0,Automatic,200000,2022-04-27,50k-100k,0.0
6303,Nissan,Juke,2012,199999.0,Automatic,234000,2022-05-08,150k-200k,0.0
6305,Nissan,Juke,2012,119999.0,Automatic,220000,2022-05-08,100k-150k,0.0
13528,Nissan,Juke,2012,159999.0,Automatic,217000,2022-05-09,150k-200k,0.0
13584,Nissan,Juke,2012,180000.0,Automatic,241000,2022-05-09,150k-200k,0.0
11987,Nissan,Juke,2012,159999.0,Automatic,224000,2022-05-13,150k-200k,0.0
3218,Nissan,Juke,2012,139999.0,Automatic,235000,2022-05-25,100k-150k,0.0
3219,Nissan,Juke,2012,179999.0,Automatic,264000,2022-05-25,150k-200k,0.0
3265,Nissan,Juke,2012,148000.0,Automatic,238000,2022-05-25,100k-150k,0.0
501,Nissan,Juke,2012,148000.0,Automatic,246000,2022-06-05,100k-150k,0.0
502,Nissan,Juke,2012,150000.0,Automatic,242000,2022-06-05,150k-200k,11.0
505,Nissan,Juke,2012,65000.0,Automatic,237000,2022-06-05,50k-100k,21.0
506,Nissan,Juke,2012,105000.0,Automatic,200000,2022-06-05,100k-150k,1.0
524,Nissan,Juke,2012,160000.0,Automatic,250000,2022-06-05,150k-200k,25.0
549,Nissan,Juke,2012,149000.0,Automatic,241000,2022-06-05,100k-150k,13.0
550,Nissan,Juke,2012,149000.0,Automatic,209000,2022-06-05,100k-150k,0.0
552,Nissan,Juke,2012,65000.0,Automatic,274000,2022-06-05,50k-100k,7.0
4079,Nissan,Juke,2012,140000.0,Automatic,233000,2022-06-07,100k-150k,0.0
5385,Nissan,Juke,2012,140000.0,Automatic,228000,2022-06-08,100k-150k,0.0
3063,Nissan,Juke,2012,113000.0,Automatic,191000,2022-06-09,100k-150k,0.0
12091,Nissan,Juke,2012,155000.0,Automatic,245000,2022-06-10,150k-200k,0.0
19024,Nissan,Juke,2012,118000.0,Automatic,246000,2022-06-24,100k-150k,31.0
19061,Nissan,Juke,2012,199999.0,Automatic,249000,2022-06-24,150k-200k,14.0
19062,Nissan,Juke,2012,179999.0,Automatic,260000,2022-06-24,150k-200k,19.0
19123,Nissan,Juke,2012,118000.0,Automatic,240000,2022-06-24,100k-150k,9.0
8060,Nissan,Juke,2012,9999.0,Automatic,258000,2022-06-25,0-50k,24.0
16871,Nissan,Juke,2012,119999.0,Automatic,228000,2022-06-26,100k-150k,22.0
3675,Nissan,Juke,2012,19999.0,Automatic,258000,2022-07-10,0-50k,10.0
17236,Nissan,Juke,2012,89999.0,Automatic,248000,2022-07-25,50k-100k,0.0
16456,Nissan,Juke,2012,119999.0,Automatic,255000,2022-08-01,100k-150k,23.0
12358,Nissan,Juke,2012,59999.0,Automatic,167000,2022-08-03,50k-100k,2.0
15665,Nissan,Juke,2012,150000.0,Automatic,247000,2022-08-06,150k-200k,25.0
9783,Nissan,Juke,2012,139999.0,Automatic,265000,2022-08-25,100k-150k,0.0
3790,Nissan,Juke,2012,150000.0,Automatic,252000,2022-09-03,150k-200k,11.0
463,Nissan,Juke,2012,139999.0,Automatic,320000,2022-09-12,100k-150k,15.0
16358,Nissan,Juke,2012,160000.0,Automatic,325000,2022-09-21,150k-200k,12.0
11382,Nissan,Juke,2012,119999.0,Automatic,322000,2022-09-23,100k-150k,23.0
15010,Nissan,Juke,2012,178200.0,Automatic,327000,2022-09-28,150k-200k,0.0
15011,Nissan,Juke,2012,176000.0,Automatic,321000,2022-09-28,150k-200k,0.0
17335,Nissan,Juke,2012,152000.0,Automatic,219000,2022-10-03,150k-200k,24.0
17558,Nissan,Juke,2012,123000.0,Automatic,317000,2022-10-17,100k-150k,0.0
17614,Nissan,Juke,2012,130000.0,Automatic,266000,2022-10-17,100k-150k,0.0
11274,Nissan,Juke,2012,119000.0,Automatic,275000,2022-10-18,100k-150k,18.0
11307,Nissan,Juke,2012,119999.0,Automatic,305000,2022-10-18,100k-150k,16.0
7289,Nissan,Juke,2012,160000.0,Automatic,354000,2022-11-04,150k-200k,0.0
13336,Nissan,Juke,2012,123000.0,Automatic,341000,2022-11-06,100k-150k,0.0
13373,Nissan,Juke,2012,119999.0,Automatic,325000,2022-11-06,100k-150k,7.0
15439,Nissan,Juke,2012,123000.0,Automatic,336000,2022-11-07,100k-150k,10.0
15450,Nissan,Juke,2012,139999.0,Automatic,264000,2022-11-07,100k-150k,18.0
17189,Nissan,Juke,2012,137000.0,Automatic,320000,2022-11-29,100k-150k,6.0
5289,Nissan,Juke,2012,119999.0,Automatic,340000,2022-12-13,100k-150k,20.0
5302,Nissan,Juke,2012,130000.0,Automatic,318000,2022-12-13,100k-150k,9.0
18335,Nissan,Juke,2012,139999.0,Automatic,352000,2023-01-20,100k-150k,0.0
12503,Nissan,Juke,2012,159999.0,Automatic,313000,2023-01-21,150k-200k,0.0
12627,Nissan,Juke,2012,119999.0,Automatic,355000,2023-01-21,100k-150k,10.0
13268,Nissan,Juke,2012,180000.0,Automatic,292000,2023-01-22,150k-200k,6.0
9215,Nissan,Juke,2012,180000.0,Automatic,287000,2023-01-23,150k-200k,10.0
16805,Nissan,Juke,2012,159999.0,Automatic,303000,2023-01-24,150k-200k,15.0
14650,Nissan,Juke,2012,180000.0,Automatic,297000,2023-01-29,150k-200k,0.0
208,Nissan Motor Egypt,Juke,2012,147000.0,Automatic,324000,2023-02-18,100k-150k,10.0
16738,Nissan Motor Egypt,Juke,2012,138000.0,Automatic,328000,2023-02-19,100k-150k,0.0
2839,Nissan,Juke,2012,159999.0,Automatic,316000,2023-03-05,150k-200k,0.0
19384,Nissan,Juke,2012,155000.0,Automatic,249000,2023-03-18,150k-200k,29.0
4652,Nissan Motor Egypt,Juke,2012,150000.0,Automatic,295000,2023-03-19,150k-200k,0.0
19219,Nissan,Juke,2012,200000.0,Automatic,396000,2023-04-04,200k+,0.0
7746,Nissan,Juke,2012,120000.0,Automatic,391000,2023-04-19,100k-150k,0.0
20001,Nissan,Juke,2012,159999.0,Automatic,379000,2023-04-23,150k-200k,0.0
15429,Nissan,Juke,2012,191000.0,Automatic,365000,2023-04-26,150k-200k,0.0
3529,Nissan,Juke,2012,126000.0,Automatic,422000,2023-04-28,100k-150k,29.0
3572,Nissan,Juke,2012,190000.0,Automatic,390000,2023-04-28,150k-200k,0.0
4382,Nissan,Juke,2013,179999.0,Automatic,212000,2022-02-02,150k-200k,24.0
4486,Nissan,Juke,2013,119999.0,Automatic,193000,2022-02-02,100k-150k,17.0
9390,Nissan,Juke,2013,89999.0,Automatic,196000,2022-02-07,50k-100k,24.0
9391,Nissan,Juke,2013,99999.0,Automatic,225000,2022-02-07,50k-100k,0.0
5582,Nissan,Juke,2013,119999.0,Automatic,217000,2022-02-08,100k-150k,0.0
5664,Nissan,Juke,2013,29999.0,Automatic,208000,2022-02-08,0-50k,0.0
17788,Nissan,Juke,2013,199999.0,Automatic,207000,2022-02-11,150k-200k,0.0
5869,Nissan,Juke,2013,179999.0,Automatic,195000,2022-02-15,150k-200k,0.0
2446,Nissan,Juke,2013,99999.0,Automatic,216000,2022-02-19,50k-100k,14.0
2447,Nissan,Juke,2013,89999.0,Automatic,210000,2022-02-19,50k-100k,24.0
2448,Nissan,Juke,2013,59999.0,Automatic,229000,2022-02-19,50k-100k,0.0
8281,Nissan,Juke,2013,159999.0,Automatic,216000,2022-02-24,150k-200k,23.0
8308,Nissan,Juke,2013,19999.0,Automatic,200000,2022-02-24,0-50k,14.0
8311,Nissan,Juke,2013,99999.0,Automatic,202000,2022-02-24,50k-100k,21.0
8312,Nissan,Juke,2013,19999.0,Automatic,195000,2022-02-24,0-50k,0.0
9792,Nissan,Juke,2013,159999.0,Automatic,203000,2022-02-25,150k-200k,16.0
9793,Nissan,Juke,2013,179999.0,Automatic,189000,2022-02-25,150k-200k,14.0
9829,Nissan,Juke,2013,99999.0,Automatic,206000,2022-02-25,50k-100k,0.0
7365,Nissan,Juke,2013,89999.0,Automatic,197000,2022-03-02,50k-100k,0.0
19719,Nissan,Juke,2013,39999.0,Automatic,247000,2022-03-07,0-50k,12.0
19720,Nissan,Juke,2013,99999.0,Automatic,194000,2022-03-07,50k-100k,17.0
19807,Nissan,Juke,2013,89999.0,Automatic,220000,2022-03-07,50k-100k,0.0
11855,Nissan,Juke,2013,179999.0,Automatic,182000,2022-03-09,150k-200k,17.0
11856,Nissan,Juke,2013,89999.0,Automatic,225000,2022-03-09,50k-100k,14.0
11922,Nissan,Juke,2013,107000.0,Automatic,217000,2022-03-09,100k-150k,10.0
11923,Nissan,Juke,2013,159999.0,Automatic,186000,2022-03-09,150k-200k,0.0
11950,Nissan,Juke,2013,200000.0,Automatic,171000,2022-03-09,200k+,0.0
4938,Nissan,Juke,2013,139999.0,Automatic,210000,2022-03-10,100k-150k,15.0
5009,Nissan,Juke,2013,179999.0,Automatic,195000,2022-03-10,150k-200k,0.0
2042,Nissan,Juke,2013,139999.0,Automatic,207000,2022-03-11,100k-150k,0.0
2047,Nissan,Juke,2013,119999.0,Automatic,208000,2022-03-11,100k-150k,0.0
6503,Nissan,Juke,2013,130000.0,Automatic,226000,2022-03-16,100k-150k,0.0
11059,Nissan,Juke,2013,139999.0,Automatic,206000,2022-03-19,100k-150k,19.0
11062,Nissan,Juke,2013,89999.0,Automatic,213000,2022-03-19,50k-100k,0.0
11139,Nissan,Juke,2013,175000.0,Automatic,181000,2022-03-19,150k-200k,4.0
8480,Nissan,Juke,2013,159999.0,Automatic,179000,2022-03-21,150k-200k,0.0
8551,Nissan,Juke,2013,67000.0,Automatic,213000,2022-03-21,50k-100k,0.0
5492,Nissan,Juke,2013,139999.0,Automatic,196000,2022-03-24,100k-150k,0.0
5493,Nissan,Juke,2013,119999.0,Automatic,216000,2022-03-24,100k-150k,19.0
18495,Nissan,Juke,2013,19999.0,Automatic,203000,2022-04-02,0-50k,20.0
18497,Nissan,Juke,2013,139999.0,Automatic,207000,2022-04-02,100k-150k,0.0
15116,Nissan,Juke,2013,199999.0,Automatic,205000,2022-04-03,150k-200k,0.0
15138,Nissan,Juke,2013,139999.0,Automatic,210000,2022-04-03,100k-150k,16.0
7067,Nissan,Juke,2013,166000.0,Automatic,204000,2022-04-07,150k-200k,9.0
14666,Nissan,Juke,2013,59999.0,Automatic,240000,2022-04-10,50k-100k,0.0
11544,Nissan,Juke,2013,59999.0,Automatic,239000,2022-04-12,50k-100k,0.0
18775,Nissan,Juke,2013,126000.0,Automatic,227000,2022-04-17,100k-150k,0.0
10033,Nissan,Juke,2013,99999.0,Automatic,204000,2022-04-21,50k-100k,0.0
10034,Nissan,Juke,2013,199999.0,Automatic,200000,2022-04-21,150k-200k,0.0
10035,Nissan,Juke,2013,139999.0,Automatic,203000,2022-04-21,100k-150k,0.0
10036,Nissan,Juke,2013,159999.0,Automatic,207000,2022-04-21,150k-200k,0.0
10037,Nissan,Juke,2013,89999.0,Automatic,219000,2022-04-21,50k-100k,0.0
10038,Nissan,Juke,2013,89999.0,Automatic,196000,2022-04-21,50k-100k,0.0
10039,Nissan,Juke,2013,19999.0,Automatic,199000,2022-04-21,0-50k,0.0
10040,Nissan,Juke,2013,19999.0,Automatic,206000,2022-04-21,0-50k,0.0
10041,Nissan,Juke,2013,179999.0,Automatic,187000,2022-04-21,150k-200k,0.0
10042,Nissan,Juke,2013,139999.0,Automatic,225000,2022-04-21,100k-150k,0.0
10043,Nissan,Juke,2013,139999.0,Automatic,211000,2022-04-21,100k-150k,0.0
10044,Nissan,Juke,2013,89999.0,Automatic,225000,2022-04-21,50k-100k,0.0
10045,Nissan,Juke,2013,89999.0,Automatic,206000,2022-04-21,50k-100k,0.0
10046,Nissan,Juke,2013,39999.0,Automatic,257000,2022-04-21,0-50k,0.0
6065,Nissan,Juke,2013,89999.0,Automatic,248000,2022-04-22,50k-100k,0.0
14506,Nissan,Juke,2013,89999.0,Automatic,231000,2022-04-29,50k-100k,0.0
14508,Nissan,Juke,2013,29999.0,Automatic,172000,2022-04-29,0-50k,0.0
14537,Nissan,Juke,2013,9000.0,Automatic,211000,2022-04-29,0-50k,0.0
6304,Nissan,Juke,2013,9999.0,Automatic,246000,2022-05-08,0-50k,0.0
13583,Nissan,Juke,2013,115000.0,Automatic,239000,2022-05-09,100k-150k,0.0
4301,Nissan,Juke,2013,119999.0,Automatic,174000,2022-05-17,100k-150k,0.0
4305,Nissan,Juke,2013,79999.0,Automatic,235000,2022-05-17,50k-100k,0.0
4306,Nissan,Juke,2013,99999.0,Automatic,245000,2022-05-17,50k-100k,0.0
5140,Nissan,Juke,2013,139999.0,Automatic,230000,2022-05-18,100k-150k,0.0
5141,Nissan,Juke,2013,119999.0,Automatic,214000,2022-05-18,100k-150k,0.0
3217,Nissan,Juke,2013,199999.0,Automatic,211000,2022-05-25,150k-200k,0.0
503,Nissan,Juke,2013,41900.0,Automatic,240000,2022-06-05,0-50k,15.0
507,Nissan,Juke,2013,113000.0,Automatic,246000,2022-06-05,100k-150k,13.0
508,Nissan,Juke,2013,130000.0,Automatic,196000,2022-06-05,100k-150k,20.0
513,Nissan,Juke,2013,85000.0,Automatic,226000,2022-06-05,50k-100k,0.0
518,Nissan,Juke,2013,134000.0,Automatic,251000,2022-06-05,100k-150k,24.0
519,Nissan,Juke,2013,80000.0,Automatic,197000,2022-06-05,50k-100k,0.0
520,Nissan,Juke,2013,80000.0,Automatic,227000,2022-06-05,50k-100k,0.0
521,Nissan,Juke,2013,100000.0,Automatic,253000,2022-06-05,100k-150k,0.0
522,Nissan,Juke,2013,100000.0,Automatic,245000,2022-06-05,100k-150k,16.0
523,Nissan,Juke,2013,180000.0,Automatic,201000,2022-06-05,150k-200k,13.0
535,Nissan,Juke,2013,170000.0,Automatic,212000,2022-06-05,150k-200k,11.0
536,Nissan,Juke,2013,9000.0,Automatic,211000,2022-06-05,0-50k,13.0
537,Nissan,Juke,2013,155000.0,Automatic,255000,2022-06-05,150k-200k,0.0
540,Nissan,Juke,2013,150000.0,Automatic,215000,2022-06-05,150k-200k,7.0
541,Nissan,Juke,2013,96000.0,Automatic,224000,2022-06-05,50k-100k,12.0
542,Nissan,Juke,2013,150000.0,Automatic,204000,2022-06-05,150k-200k,0.0
543,Nissan,Juke,2013,83000.0,Automatic,249000,2022-06-05,50k-100k,25.0
544,Nissan,Juke,2013,180000.0,Automatic,200000,2022-06-05,150k-200k,36.0
545,Nissan,Juke,2013,100000.0,Automatic,231000,2022-06-05,100k-150k,25.0
551,Nissan,Juke,2013,115000.0,Automatic,197000,2022-06-05,100k-150k,10.0
553,Nissan,Juke,2013,125000.0,Automatic,200000,2022-06-05,100k-150k,25.0
18117,Nissan,Juke,2013,119999.0,Automatic,278000,2022-06-06,100k-150k,17.0
18120,Nissan,Juke,2013,99999.0,Automatic,229000,2022-06-06,50k-100k,0.0
4078,Nissan,Juke,2013,15000.0,Automatic,240000,2022-06-07,0-50k,37.0
4114,Nissan,Juke,2013,69999.0,Automatic,241000,2022-06-07,50k-100k,0.0
4160,Nissan,Juke,2013,60000.0,Automatic,254000,2022-06-07,50k-100k,0.0
5313,Nissan,Juke,2013,101000.0,Automatic,245000,2022-06-08,100k-150k,26.0
15940,Nissan,Juke,2013,139999.0,Automatic,242000,2022-06-12,100k-150k,23.0
9548,Nissan,Juke,2013,119999.0,Automatic,243000,2022-06-14,100k-150k,6.0
9553,Nissan,Juke,2013,175000.0,Automatic,255000,2022-06-14,150k-200k,5.0
18876,Nissan,Juke,2013,9999.0,Automatic,220000,2022-06-19,0-50k,0.0
18986,Nissan,Juke,2013,159999.0,Automatic,240000,2022-06-19,150k-200k,20.0
15731,Nissan,Juke,2013,86000.0,Automatic,251000,2022-06-21,50k-100k,27.0
15733,Nissan,Juke,2013,160000.0,Automatic,243000,2022-06-21,150k-200k,14.0
15772,Nissan,Juke,2013,139999.0,Automatic,258000,2022-06-21,100k-150k,16.0
17628,Nissan,Juke,2013,85000.0,Automatic,252000,2022-06-22,50k-100k,27.0
17629,Nissan,Juke,2013,85000.0,Automatic,271000,2022-06-22,50k-100k,28.0
17630,Nissan,Juke,2013,145000.0,Automatic,224000,2022-06-22,100k-150k,0.0
17631,Nissan,Juke,2013,145000.0,Automatic,235000,2022-06-22,100k-150k,0.0
19063,Nissan,Juke,2013,119999.0,Automatic,270000,2022-06-24,100k-150k,21.0
