id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
17786,Nissan,Juke,2008,200000.0,Automatic,115000,2022-02-11,200k+,26,14,115000,-500.0,0.31,0.008695652173912993,2022,2,11,1
9997,Nissan,Juke,2008,200000.0,Automatic,116000,2022-04-21,200k+,26,14,115000,500.0,0.31,0.008695652173912993,2022,4,21,2
8738,Nissan,Juke,2009,19999.0,Automatic,239000,2022-06-01,0-50k,26,13,115500,0.0,0.31,1.0603448275862069,2022,6,1,2
9477,Nissan,Juke,2010,115000.0,Automatic,195000,2022-02-07,100k-150k,26,12,156666,0.0,0.31,-0.18410041841004188,2022,2,7,1
12801,Nissan,Juke,2011,19279.0,Automatic,248000,2022-06-29,0-50k,7,11,166250,0.0,0.31,0.2717948717948717,2022,6,29,2
9392,Nissan,Juke,2012,199999.0,Automatic,193000,2022-02-07,150k-200k,13,10,182600,-74059.52380952379,0.31,-0.22177419354838712,2022,2,7,1
17991,Nissan,Juke,2012,145000.0,Automatic,187000,2022-02-11,100k-150k,26,10,198200,-80059.52380952379,0.31,-0.031088082901554404,2022,2,11,1
5866,Nissan,Juke,2012,179999.0,Automatic,185000,2022-02-15,150k-200k,16,10,212400,-82059.52380952379,0.31,-0.010695187165775444,2022,2,15,1
6717,Nissan,Juke,2012,139999.0,Automatic,195000,2022-02-22,100k-150k,13,10,201600,-72059.52380952379,0.31,0.054054054054053946,2022,2,22,1
6445,Nissan,Juke,2012,159999.0,Automatic,213000,2022-03-16,150k-200k,13,10,201600,-54059.52380952379,0.31,0.0923076923076922,2022,3,16,1
6446,Nissan,Juke,2012,99999.0,Automatic,222000,2022-03-16,50k-100k,15,10,194600,-45059.52380952379,0.31,0.04225352112676051,2022,3,16,1
11063,Nissan,Juke,2012,39999.0,Automatic,235000,2022-03-19,0-50k,21,10,200400,-32059.523809523787,0.31,0.05855855855855863,2022,3,19,1
8475,Nissan,Juke,2012,119999.0,Automatic,205000,2022-03-21,100k-150k,12,10,210000,-62059.52380952379,0.31,-0.12765957446808507,2022,3,21,1
3915,Nissan,Juke,2012,159999.0,Automatic,217000,2022-03-23,150k-200k,26,10,214000,-50059.52380952379,0.31,0.05853658536585371,2022,3,23,1
3,Nissan,Juke,2012,159999.0,Automatic,198000,2022-03-25,150k-200k,19,10,218400,-69059.52380952379,0.31,-0.0875576036866359,2022,3,25,1
18464,Nissan,Juke,2012,199999.0,Automatic,222000,2022-04-02,150k-200k,26,10,215400,-45059.52380952379,0.31,0.1212121212121211,2022,4,2,2
10013,Nissan,Juke,2012,119999.0,Automatic,210000,2022-04-21,100k-150k,26,10,215400,-57059.52380952379,0.31,-0.05405405405405406,2022,4,21,2
10014,Nissan,Juke,2012,159999.0,Automatic,182000,2022-04-21,150k-200k,26,10,210400,-85059.52380952379,0.31,-0.1333333333333333,2022,4,21,2
10015,Nissan,Juke,2012,159999.0,Automatic,233000,2022-04-21,150k-200k,12,10,205800,-34059.52380952379,0.31,0.2802197802197801,2022,4,21,2
10017,Nissan,Juke,2012,159999.0,Automatic,227000,2022-04-21,150k-200k,26,10,209000,-40059.52380952379,0.31,-0.025751072961373356,2022,4,21,2
10018,Nissan,Juke,2012,119999.0,Automatic,222000,2022-04-21,100k-150k,26,10,214800,-45059.52380952379,0.31,-0.022026431718061623,2022,4,21,2
10019,Nissan,Juke,2012,159999.0,Automatic,206000,2022-04-21,150k-200k,26,10,214800,-61059.52380952379,0.31,-0.07207207207207211,2022,4,21,2
6067,Nissan,Juke,2012,179999.0,Automatic,221000,2022-04-22,150k-200k,26,10,214000,-46059.52380952379,0.31,0.07281553398058249,2022,4,22,2
12431,Nissan,Juke,2012,99999.0,Automatic,200000,2022-04-27,50k-100k,26,10,221800,-67059.52380952379,0.31,-0.09502262443438914,2022,4,27,2
6303,Nissan,Juke,2012,199999.0,Automatic,234000,2022-05-08,150k-200k,26,10,215200,-33059.52380952379,0.31,0.16999999999999993,2022,5,8,2
6305,Nissan,Juke,2012,119999.0,Automatic,220000,2022-05-08,100k-150k,26,10,216600,-47059.52380952379,0.31,-0.05982905982905984,2022,5,8,2
13528,Nissan,Juke,2012,159999.0,Automatic,217000,2022-05-09,150k-200k,26,10,216200,-50059.52380952379,0.31,-0.013636363636363669,2022,5,9,2
13584,Nissan,Juke,2012,180000.0,Automatic,241000,2022-05-09,150k-200k,26,10,218400,-26059.523809523787,0.31,0.11059907834101379,2022,5,9,2
11987,Nissan,Juke,2012,159999.0,Automatic,224000,2022-05-13,150k-200k,26,10,222400,-43059.52380952379,0.31,-0.0705394190871369,2022,5,13,2
3218,Nissan,Juke,2012,139999.0,Automatic,235000,2022-05-25,100k-150k,26,10,227200,-32059.523809523787,0.31,0.049107142857142794,2022,5,25,2
3219,Nissan,Juke,2012,179999.0,Automatic,264000,2022-05-25,150k-200k,26,10,227400,-3059.5238095237873,0.31,0.123404255319149,2022,5,25,2
3265,Nissan,Juke,2012,148000.0,Automatic,238000,2022-05-25,100k-150k,26,10,236200,-29059.523809523787,0.31,-0.09848484848484851,2022,5,25,2
501,Nissan,Juke,2012,148000.0,Automatic,246000,2022-06-05,100k-150k,26,10,240400,-21059.523809523787,0.31,0.03361344537815136,2022,6,5,2
502,Nissan,Juke,2012,150000.0,Automatic,242000,2022-06-05,150k-200k,11,10,241400,-25059.523809523787,0.31,-0.016260162601625994,2022,6,5,2
505,Nissan,Juke,2012,65000.0,Automatic,237000,2022-06-05,50k-100k,20,10,245000,-30059.523809523787,0.31,-0.02066115702479343,2022,6,5,2
506,Nissan,Juke,2012,105000.0,Automatic,200000,2022-06-05,100k-150k,1,10,245400,-67059.52380952379,0.31,-0.1561181434599156,2022,6,5,2
524,Nissan,Juke,2012,160000.0,Automatic,250000,2022-06-05,150k-200k,24,10,232600,-17059.523809523787,0.31,0.25,2022,6,5,2
549,Nissan,Juke,2012,149000.0,Automatic,241000,2022-06-05,100k-150k,12,10,235000,-26059.523809523787,0.31,-0.03600000000000003,2022,6,5,2
550,Nissan,Juke,2012,149000.0,Automatic,209000,2022-06-05,100k-150k,26,10,234000,-58059.52380952379,0.31,-0.13278008298755184,2022,6,5,2
552,Nissan,Juke,2012,65000.0,Automatic,274000,2022-06-05,50k-100k,6,10,227400,6940.476190476213,0.31,0.3110047846889952,2022,6,5,2
4079,Nissan,Juke,2012,140000.0,Automatic,233000,2022-06-07,100k-150k,26,10,234800,-34059.52380952379,0.31,-0.14963503649635035,2022,6,7,2
