feature,importance
dt_year,0.093816295
price_moving_avg,0.090874806
model_year,0.07117863
competitor_price_diff,0.039788183
popularity,0.03373987
model_age,0.016555412
dt_quarter,0.012831351
cruisecontrol,0.010784182
dt_month,0.010364008
touchscreen,0.010258821
closingmirrors,0.00639387
rearviewcamera,0.0053103035
bluetooth,0.0050648544
price_change_pct,0.004569965
powerseats,0.0035831328
usb,0.0034940431
esp,0.0034449932
ebd,0.0033268102
anti-theftsystem,0.0029452713
analogeaircondition,0.0029122273
powersteering,0.002663882
rearcamera,0.0023543201
keyless,0.0019216571
sunroof,0.0019050502
am/fmradio,0.0018659417
off-roadtyres,0.0014058651
extra_features_count,0.0011978121
leatherseats,0.00096391403
powerlocks,0.0008425547
alarm/anti-theftsystem,0.0005928747
intelligentparkingsystem,0.0005259638
sensors,0.00037435335
steptronic,0.00035393456
powerwindows,0.00034874046
startengine,0.00034294723
mileage_category,0.00028747937
airconditioning,0.00028747937
model,0.00028107534
abs,0.00028107534
frontsensors,0.00028102845
roofrack,0.0002795139
navigationsystem,0.00026691903
cdplayer,0.00026079823
cassetteradio,0.00025943018
rearspoiler,0.00023960944
dt_day,0.0002320874
alloywheels,0.000223826
electricchairs,0.00021334177
tractioncontrol,0.00021306776
fabricbrushes,0.00020728294
centrallock,0.00020420784
gps,0.00020256973
foglights,0.00019638216
dvdplayer,0.00018081773
foglight,0.000176938
electronicwindow,0.0001681188
alarm,0.00016326149
aux,0.00013601947
premiumwheels/rims,0.00013172413
multifunction,0.00012325341
powermirrors,0.00012304177
passengerairbag,0.00012006965
eps,0.00011149125
bluetoothsystem,0.00010751179
cdchanger,0.00010193493
sideairbag,9.780578e-05
tintedglass,9.7674616e-05
touchactivateddoorlock,9.7078584e-05
driverairbag,9.680746e-05
transmission_type,8.6235224e-05
airbags,8.6235224e-05
electricmirrors,6.749418e-05
