make,model,year,kilometers,transmission_type,extra_features,price,priced_at
Nissan,Sunny,2020,9999,Automatic,"",220000,2022-03-25
Nissan,Sunny,2017,89999,Automatic,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; EBD; Leather Seats; Parking Sensors; Power Windows,208000,2022-03-25
Nissan,Sunny,2007,159999,Automatic,"",157000,2022-03-25
Nissan,Juke,2012,159999,Automatic,ABS; Air Conditioning; AM/FM Radio; Aux Audio In; Bluetooth System; Cruise Control; EBD; Fog Lights; Keyless Start; Leather Seats; Off-Road Tyres; Parking Sensors; Power Locks; Power Steering; Power Windows; Premium Wheels/Rims; Rear View Camera; Touch Screen; USB Charger,198000,2022-03-25
Nissan,Sunny,2014,119999,Automatic,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Aux Audio In; Bluetooth System; Fog Lights; Leather Seats; Off-Road Tyres; Power Locks; Power Mirrors; Power Steering; Power Windows; USB Charger,173000,2022-03-25
Nissan,Sunny,2015,119999,Automatic,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Aux Audio In; Bluetooth System; Fog Lights; Power Locks; Power Steering; Power Windows; USB Charger,161000,2022-03-25
Nissan,Sunny,2003,199999,Automatic,Air Conditioning; Fog Lights; Leather Seats; Power Locks; Power Mirrors; Power Seats; Power Windows,109000,2022-03-25
Nissan,Sunny,2019,139999,Automatic,"",160000,2022-03-25
Nissan,Sunny,2011,200000,Automatic,"",159000,2022-03-25
Nissan,Sunny,2011,139999,Automatic,Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Aux Audio In; Fog Lights; Power Mirrors; Power Steering; Power Windows; USB Charger,154000,2022-03-25
Nissan,Sunny,2011,9999,Automatic,"",141000,2022-03-25
Nissan,Sunny,2022,9999,Automatic,"",266000,2022-03-25
Nissan,Sunny,2014,159999,Automatic,Air Conditioning; Airbags; AM/FM Radio; Aux Audio In; EBD; Fog Lights; Keyless Start; Leather Seats; Power Locks; Power Mirrors; USB Charger,175000,2022-03-25
Nissan,Sunny,2014,119999,Automatic,Air Conditioning; Airbags; AM/FM Radio; Aux Audio In; Fog Lights; Parking Sensors; Power Locks; Power Mirrors; Power Steering; Power Windows; USB Charger,161000,2022-03-25
Nissan,Sunny,2011,139999,Automatic,Air Conditioning; Airbags; AM/FM Radio; Fog Lights; Leather Seats,129000,2022-03-25
Nissan,Sunny,2011,139999,Manual,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; Aux Audio In; Bluetooth System; Cruise Control; EBD; Fog Lights; Keyless Start; Leather Seats; Navigation System; Off-Road Tyres; Parking Sensors; Power Locks; Power Mirrors; Power Seats; Power Steering; Power Windows; Premium Wheels/Rims; USB Charger,138000,2022-03-25
Nissan,Sunny,2016,99999,Automatic,"",59000,2022-03-25
Nissan,Sunny,2015,119999,Automatic,Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Aux Audio In; Bluetooth System; Fog Lights; Keyless Start; Leather Seats; Off-Road Tyres; Power Locks; Power Mirrors; Power Steering; Power Windows; Premium Wheels/Rims; USB Charger,168000,2022-03-25
Nissan,Sunny,2008,199999,Manual,Air Conditioning; Bluetooth System; Aux Audio In; AM/FM Radio; Airbags; Fog Lights; Power Locks; Premium Wheels/Rims; USB Charger; Power Windows; Power Seats; Leather Seats,136000,2022-03-25
Nissan,Sunny,2013,99999,Automatic,"",189000,2022-03-25
Nissan,Sunny,2018,9999,Automatic,"",184000,2022-03-25
Nissan,Sunny,2012,179999,Automatic,ABS; Air Conditioning; Airbags; AM/FM Radio; Aux Audio In; EBD; Leather Seats,173000,2022-03-25
Nissan,Sunny,2019,9999,Automatic,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Aux Audio In; Bluetooth System; Keyless Start; Leather Seats; Off-Road Tyres; Parking Sensors; Power Locks; Power Mirrors; Power Seats; Power Steering; Power Windows; Premium Wheels/Rims; Rear View Camera; Touch Screen; USB Charger,202000,2022-03-25
Nissan,Sentra,2018,89999,Automatic,"",228000,2022-03-25
Nissan,Sentra,2022,19999,Automatic,ABS; Air Conditioning; Airbags; AM/FM Radio; Aux Audio In; Bluetooth System; EBD; Fog Lights; Keyless Start; Leather Seats; Power Locks; Power Mirrors; Power Steering; Power Windows; Rear View Camera; Touch Screen; USB Charger,363000,2022-03-25
